Ref_Date,GEO,AGE,SEX,UNIT,Value
1992,Nunavut,At birth,Both sexes,Life expectancy,
1993,Nunavut,At birth,Both sexes,Life expectancy,
1994,Nunavut,At birth,Both sexes,Life expectancy,
1995,Nunavut,At birth,Both sexes,Life expectancy,
1996,Nunavut,At birth,Both sexes,Life expectancy,
1997,Nunavut,At birth,Both sexes,Life expectancy,
1998,Nunavut,At birth,Both sexes,Life expectancy,
1999,Nunavut,At birth,Both sexes,Life expectancy,71.9
2000,Nunavut,At birth,Both sexes,Life expectancy,67.8
2001,Nunavut,At birth,Both sexes,Life expectancy,69.4
2002,Nunavut,At birth,Both sexes,Life expectancy,68.5
2003,Nunavut,At birth,Both sexes,Life expectancy,68.5
2004,Nunavut,At birth,Both sexes,Life expectancy,70.4
2005,Nunavut,At birth,Both sexes,Life expectancy,
2006,Nunavut,At birth,Both sexes,Life expectancy,
